label,filename,duration_sec,num_strokes,x_mean,x_std,x_min,x_max,x_range,y_mean,y_std,y_min,y_max,y_range,z_mean,z_std,z_min,z_max,z_range
a,a_1.csv,1.5923502445220947,3,-62.174157303370784,103.88807539721692,-337,103,440,228.74719101123594,145.88377897993365,6,498,492,56.151685393258425,258.28527241462285,-270,500,770
a,a_10.csv,1.3087129592895508,3,-91.64,125.46783753230767,-333,159,492,210.71333333333334,142.56162386684773,22,502,480,30.653333333333332,252.4174125463605,-368,498,866
a,a_11.csv,1.3761954307556152,3,-77.92948717948718,109.80393742158658,-337,150,487,215.22435897435898,131.40744682182816,12,472,460,38.006410256410255,252.6839284572309,-354,499,853
a,a_12.csv,1.4023308753967285,3,-49.34228187919463,111.67428336473941,-315,137,452,227.38926174496643,135.01540009306026,24,500,476,92.61073825503355,278.026654161883,-360,500,860
a,a_13.csv,1.42108154296875,3,-46.98039215686274,122.22684209613111,-313,207,520,243.7843137254902,135.70265197232507,40,497,457,70.52287581699346,259.36357038779914,-394,498,892
a,a_14.csv,1.451084852218628,3,-55.171779141104295,127.65325309535774,-322,167,489,242.23312883435582,138.76130008715816,39,496,457,97.37423312883436,269.3988068083223,-436,500,936
a,a_15.csv,1.401196002960205,3,-74.55345911949685,134.68574054558707,-320,171,491,250.18867924528303,155.87146480968048,34,500,466,38.0125786163522,259.1292866168337,-362,498,860
a,a_16.csv,1.3361592292785645,3,-87.37820512820512,103.71756580928233,-257,157,414,235.59615384615384,156.11202672548157,28,498,470,46.6025641025641,264.6907064063623,-338,500,838
a,a_17.csv,1.4474031925201416,3,-57.470588235294116,112.95330071500727,-273,157,430,236.6143790849673,128.6233855805291,42,496,454,18.80392156862745,255.40262483771346,-326,498,824
a,a_18.csv,1.4538648128509521,3,-52.4375,103.00172114944695,-245,156,401,235.475,160.35236161096546,13,500,487,16.0625,250.2042106212016,-384,498,882
a,a_19.csv,1.4199433326721191,3,-71.94964028776978,97.28885153977119,-273,120,393,233.06474820143885,149.01926772770963,16,478,462,43.82014388489208,241.5540942746546,-298,502,800
a,a_2.csv,1.3013267517089844,3,-88.16176470588235,175.67344370601214,-428,281,709,249.24264705882354,143.8232194885523,28,498,470,67.02941176470588,244.73205124445408,-290,498,788
